Year,LanguageTag,TargetTag,Quantity,ChuyenNganh
2021,javascript,laravel,1255,Web Backend
2021,javascript,react-redux,1204,Web Frontend
2021,javascript,react-router,960,Web Frontend
2021,javascript,mysql,930,Database
2021,javascript,vuejs3,911,Web Frontend
2021,javascript,bootstrap-4,879,Web Frontend
2021,javascript,dom-events,763,Web Frontend
2021,javascript,android,723,Mobile App
2021,javascript,angularjs,689,Web Frontend
2021,javascript,vue-component,591,Web Frontend
2021,javascript,html5-canvas,591,Web Frontend
2021,javascript,firebase-realtime-database,587,Database
2021,javascript,firebase-authentication,561,Web Backend
2021,javascript,flask,559,Web Backend
2021,javascript,react-router-dom,547,Web Frontend
2021,php,laravel,10894,Web Backend
2021,php,mysql,4717,Database
2021,php,html,4454,Web Frontend
2021,php,jquery,2089,Web Frontend
2021,php,ajax,1811,Web Frontend
2021,php,laravel-8,1602,Web Backend
2021,php,symfony,1512,Web Backend
2021,php,sql,1423,Database
2021,php,css,902,Web Frontend
2021,php,docker,573,DevOps & Cloud
2021,php,mysqli,560,Database
2021,php,email,401,Data Science & AI
2021,php,laravel-blade,388,Web Backend
2021,php,nginx,378,DevOps & Cloud
2021,php,composer-php,369,Web Backend
2021,php,laravel-5,366,Web Backend
2021,php,vue.js,319,Web Frontend
2021,php,authentication,312,Web Backend
2021,php,phpunit,285,Web Backend
2021,php,phpmailer,266,Data Science & AI
2021,php,laravel-livewire,261,Web Backend
2021,php,laravel-7,222,Web Backend
2021,php,sql-server,217,Database
2021,php,postgresql,197,Database
2021,php,symfony5,196,Web Backend
2021,php,node.js,185,Web Backend
2021,php,php-8,179,Web Backend
2021,php,reactjs,173,Web Frontend
2021,php,phpmyadmin,166,Web Backend
2021,php,cakephp,165,Web Backend
2021,php,docker-compose,164,DevOps & Cloud
2021,php,mongodb,155,Database
2021,php,android,150,Mobile App
2021,php,phpstorm,147,Web Backend
2021,php,laravel-5.8,146,Web Backend
2021,python,pandas,39593,Data Science & AI
2021,python,dataframe,17427,Data Science & AI
2021,python,django,14223,Web Backend
2021,python,numpy,11885,Data Science & AI
